id_cuenta,numero_cuenta,fecha_apertura
62ff3051-1005-4185-a3ba-6ed6f8c55573,MX-ACC-761450,2024-01-01
52132373-7823-46b8-88cb-0234148c4f4d,MX-ACC-867214,2024-01-01
332716be-0db7-4d39-b8c2-2687c765c49a,MX-ACC-962645,2024-01-01
e48d89fc-31ac-4505-9fe7-c25275a6f94f,MX-ACC-808662,2024-01-01
956f351a-9d6e-4c9a-885e-b43b57925779,MX-ACC-788281,2024-01-01
08060a92-2482-4b8b-8501-62532530d22d,MX-ACC-457429,2024-01-01
05119cdd-df13-46b4-acd1-ddf01e22a371,MX-ACC-155318,2024-01-01
44a2ec9f-92b9-47bc-91ed-94aae8169c9f,MX-ACC-417267,2024-01-01
ab8bba3a-575a-4867-ada9-fed08329dd97,MX-ACC-292192,2024-01-01
5968a94e-fcef-412e-9564-99419c03adfc,MX-ACC-178781,2024-01-01
6c87c1bf-4e25-4803-b4bc-e41e61a3ccf9,MX-ACC-305041,2024-01-01
105bde91-f299-4be8-864f-5ee8f695b88a,MX-ACC-415557,2024-01-01
785c3bae-2714-4597-b594-dc86c98358ff,MX-ACC-616588,2024-01-01
484d7194-c3d6-4987-be7c-0937c6df5eae,MX-ACC-512498,2024-01-01
33898fff-2892-4d76-9b2e-cb4096c9fa2c,MX-ACC-680466,2024-01-01
63f18e0b-bea6-46d5-b62c-301b2ecd33b9,MX-ACC-803714,2024-01-01
3b1cd4f2-03f2-4fe7-82eb-2c4a68e3e398,MX-ACC-241564,2024-01-01
4c705eea-d79f-4f75-8e6f-fbfe5822dece,MX-ACC-618271,2024-01-01
18c5e1b7-dc4a-4522-8019-192c6b9924c9,MX-ACC-283675,2024-01-01
b1e106dc-5abc-4752-9ae3-491b216b8bb3,MX-ACC-335362,2024-01-01
048cf4a1-7baa-40a0-8283-1d5d24a3554e,MX-ACC-159163,2024-01-01
c6f3c310-231c-47ef-a814-263f3e35aff2,MX-ACC-705470,2024-01-01
c2c81343-2ecf-4a96-8faa-927100931cfd,MX-ACC-754811,2024-01-01
f6e99e02-4ac7-4aa2-a922-c31ebbfa100e,MX-ACC-906790,2024-01-01
84beb1fd-13c9-4d9d-a3a5-12f59b10b839,MX-ACC-904462,2024-01-01
0c74e8ff-9b95-4df5-9e8b-f6bda042185a,MX-ACC-416076,2024-01-01
1ad20e25-0772-455c-812f-ed0b0f731124,MX-ACC-820801,2024-01-01
a678f582-0858-4186-b81e-1a2392a9c13e,MX-ACC-611411,2024-01-01
296438d3-f0ce-4786-b454-52211fe3ebda,MX-ACC-191865,2024-01-01
b039f3d7-339b-405c-ae00-69a3a298dd13,MX-ACC-250159,2024-01-01
aa98c6da-345e-412c-97a8-c4cc955e9efc,MX-ACC-865313,2024-01-01
cf742715-ad72-4be5-9ba2-62a8418739d0,MX-ACC-308124,2024-01-01
e9343899-e57e-427e-93af-3510f8fb6493,MX-ACC-249143,2024-01-01
68da5718-3885-4a0e-a090-aa9748ed09d6,MX-ACC-158871,2024-01-01
