id_transaccion,id_cliente,numero_cuenta,nombre_cliente,apellido_cliente,edad,genero,lugar_registro,ingreso_mensual_cliente,ahorro_actual_cliente,fecha_hora,id_categoria,categoria_slug,categoria_nombre,macro_categoria,concepto,comercio,monto,monto_signo,tipo_movimiento,medio_operacion,moneda,buro_credito_score
37c2a900-8888-40a2-a0a4-66605039c271,CLI-10057,MX-ACC-572930,Andrea,Ramirez Perez,64,F,Puebla,23334.75,0.0,2026-01-01 19:55:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,11667.38,11667.38,INGRESO,TRANSFERENCIA,MXN,447
6580d9b6-1891-4ed8-a6d4-817276991331,CLI-10095,MX-ACC-234055,Juan,Lopez Sanchez,52,M,Cancun,16686.81,2178.78,2026-01-01 21:52:00,12,multas,Multas,Transporte,Multa de Transito,Multa de Transito,961.0,-961.0,EGRESO,APP_MOVIL,MXN,558
96f5ad7a-4d0e-48b1-b965-30ebfb24d7df,CLI-10017,MX-ACC-369544,Gabriela,Ramirez Lopez,66,F,Guadalajara,14537.54,0.0,2026-01-01 22:25:00,24,bolsas,Bolsas,Ocio,Coach,Coach,1985.0,-1985.0,EGRESO,TRANSFERENCIA,MXN,539
ea065453-2c56-4909-8b49-4620affa18d7,CLI-10079,MX-ACC-237717,Manuel,Hernandez Rodriguez,62,M,CDMX,18487.49,17437.32,2026-01-01 22:42:00,17,streaming,Streaming,Ocio,Netflix,Netflix,219.0,-219.0,EGRESO,APP_MOVIL,MXN,656
cfb32eee-18d1-42ab-98a2-2b4ee881139c,CLI-10062,MX-ACC-746465,Luis,Gomez Sanchez,26,M,Puebla,10672.71,1163.0,2026-01-01 23:07:00,26,barberia,Barberia,Ocio,Barberia,Barberia,437.0,-437.0,EGRESO,TRANSFERENCIA,MXN,628
827f162a-065b-4a6b-9352-44bf543be423,CLI-10043,MX-ACC-292714,Maria,Perez Martinez,23,F,Queretaro,41400.8,16114.96,2026-01-01 23:11:00,24,bolsas,Bolsas,Ocio,Coach,Coach,1763.0,-1763.0,EGRESO,APP_MOVIL,MXN,702
d10739a0-2ab3-42e9-94ab-09c1b95c5ef6,CLI-10021,MX-ACC-566960,Juan,Martinez Rodriguez,45,M,Queretaro,31108.15,6208.9,2026-01-01 23:23:00,16,colegiatura,Colegiatura,Educacion,Colegiatura,Colegiatura,7614.0,-7614.0,EGRESO,TRANSFERENCIA,MXN,703
8f30d16f-bfae-4808-9021-18d4a5c210e0,CLI-10082,MX-ACC-868734,Manuel,Gonzalez Hernandez,49,M,Tijuana,98710.06,31097.2,2026-01-01 23:35:00,2,supermercado,Supermercado,Alimentacion,Soriana,Soriana,2244.0,-2244.0,EGRESO,EFECTIVO,MXN,799
d07f6608-2d22-41e6-a39c-d18744fca33c,CLI-10051,MX-ACC-585450,Maria,Perez Martinez,47,F,Guadalajara,50855.17,723.0,2026-01-02 00:49:00,32,internet_telefonia_hogar,Internet y Telefonia Hogar,Servicios,Infinitum,Infinitum,499.0,-499.0,EGRESO,POS,MXN,654
fee90839-6aa1-4876-afaa-8ac2d6c80a03,CLI-10073,MX-ACC-415172,Gabriela,Gomez Gonzalez,42,F,Leon,14914.7,17679.32,2026-01-02 01:59:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,7457.35,7457.35,INGRESO,TRANSFERENCIA,MXN,755
8e6cb4a0-b769-491f-b391-8b38c7fc9701,CLI-10011,MX-ACC-890180,Roberto,Sanchez Rodriguez,18,M,CDMX,14173.73,727.0,2026-01-02 04:59:00,16,colegiatura,Colegiatura,Educacion,Colegiatura,Colegiatura,7718.0,-7718.0,EGRESO,POS,MXN,632
f0eccaf3-cf6d-4eae-bdbd-16e043d48f1c,CLI-10091,MX-ACC-599883,Roberto,Ramirez Gomez,34,M,Guadalajara,19647.58,17916.27,2026-01-02 05:11:00,11,mantenimiento,Mantenimiento,Transporte,Mantenimiento Automotriz,Mantenimiento Automotriz,1891.0,-1891.0,EGRESO,POS,MXN,424
46549b0f-fe32-4e6e-b696-676ddba91e3b,CLI-10078,MX-ACC-535165,Luis,Ramirez Rodriguez,37,M,Tijuana,19710.02,0.0,2026-01-02 06:56:00,12,multas,Multas,Transporte,Multa de Transito,Multa de Transito,3848.0,-3848.0,EGRESO,TRANSFERENCIA,MXN,588
4639a19a-c7c7-4459-9724-4abd274caadb,CLI-10065,MX-ACC-556292,Carlos,Rodriguez Perez,67,M,Toluca,21112.54,271.0,2026-01-02 08:00:00,30,electricidad,Electricidad,Servicios,Electricidad,Electricidad,1580.0,-1580.0,EGRESO,APP_MOVIL,MXN,785
e3aef426-ec47-45db-81ff-1f42c4e5d26c,CLI-10083,MX-ACC-360910,Ana,Sanchez Flores,24,F,Queretaro,35628.9,3857.89,2026-01-02 11:15:00,21,salidas,Salidas,Ocio,Cinemex,Cinemex,571.0,-571.0,EGRESO,APP_MOVIL,MXN,802
21235b61-2530-4e4f-89cd-de00a790ecab,CLI-10081,MX-ACC-434402,Ricardo,Gonzalez Sanchez,46,M,Guadalajara,19484.45,542.0,2026-01-02 11:53:00,11,mantenimiento,Mantenimiento,Transporte,Mantenimiento Automotriz,Mantenimiento Automotriz,3592.0,-3592.0,EGRESO,TRANSFERENCIA,MXN,654
89e06522-7891-4cf0-9459-a23e89c6d439,CLI-10076,MX-ACC-666202,Miguel,Ramirez Hernandez,69,M,Guadalajara,24417.66,9153.19,2026-01-02 11:57:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Transferencia Recibida,Transferencia Recibida,2744.0,2744.0,INGRESO,TRANSFERENCIA,MXN,609
409c13a9-c677-49ac-830c-7adb409be351,CLI-10093,MX-ACC-616142,Manuel,Martinez Rodriguez,40,M,Cancun,34754.58,72443.17,2026-01-02 13:02:00,8,metrobus,Metrobus,Transporte,Metrobus,Metrobus,6.0,-6.0,EGRESO,EFECTIVO,MXN,488
005e2dfa-1d4c-4129-8558-b484417adb1f,CLI-10033,MX-ACC-365517,Alejandro,Rodriguez Hernandez,60,M,Monterrey,65762.54,1291.0,2026-01-02 14:36:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Transferencia Recibida,Transferencia Recibida,1063.0,1063.0,INGRESO,TRANSFERENCIA,MXN,729
933c1ed6-03be-4fca-b87c-0e8b2f69eef6,CLI-10008,MX-ACC-318969,Sofia,Rodriguez Hernandez,54,F,Cancun,80306.42,24524.91,2026-01-02 15:04:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,40153.21,40153.21,INGRESO,TRANSFERENCIA,MXN,654
d76744b6-bb6c-4bc3-85d7-e01193cb977c,CLI-10009,MX-ACC-424767,Sofia,Sanchez Rodriguez,69,F,Tijuana,25569.06,4200.82,2026-01-02 15:12:00,10,gasolina,Gasolina,Transporte,Mobil,Mobil,317.0,-317.0,EGRESO,TRANSFERENCIA,MXN,630
ce84a065-db7c-4d0d-a920-40967d7a64c1,CLI-10070,MX-ACC-954211,Alejandro,Lopez Sanchez,44,M,Merida,40079.8,0.0,2026-01-02 17:46:00,2,supermercado,Supermercado,Alimentacion,Bodega Aurrera,Bodega Aurrera,834.0,-834.0,EGRESO,TRANSFERENCIA,MXN,496
3b3dd235-8fa8-4f36-a8f8-f903709ace21,CLI-10055,MX-ACC-517170,Daniela,Lopez Gomez,21,F,Queretaro,17482.79,13062.86,2026-01-02 22:57:00,14,seguros,Seguros,Salud,GNP Seguros,GNP Seguros,3932.0,-3932.0,EGRESO,TRANSFERENCIA,MXN,492
4d03f356-b3e6-4312-9730-d791ab74907a,CLI-10061,MX-ACC-216421,Sofia,Flores Ramirez,54,F,Merida,18022.3,16724.07,2026-01-02 23:14:00,25,maquillaje,Maquillaje,Ocio,L'Oreal,L'Oreal,773.0,-773.0,EGRESO,EFECTIVO,MXN,839
6d8dbe36-c2a7-49c2-a355-515ffda61210,CLI-10048,MX-ACC-374907,Javier,Flores Ramirez,39,M,CDMX,44341.05,204.0,2026-01-02 23:49:00,34,herramientas,Herramientas,Otros,Herramientas,Herramientas,2118.0,-2118.0,EGRESO,EFECTIVO,MXN,498
9507c73c-24dc-4e30-9a72-b5d995083e66,CLI-10069,MX-ACC-590025,Alejandro,Rodriguez Sanchez,19,M,Puebla,24685.65,19118.39,2026-01-03 00:10:00,22,ropa,Ropa,Ocio,Liverpool,Liverpool,971.0,-971.0,EGRESO,TRANSFERENCIA,MXN,834
dbc1330d-f02c-47e5-9ef4-7e0b5e7f11b8,CLI-10065,MX-ACC-556292,Carlos,Rodriguez Perez,67,M,Toluca,21112.54,271.0,2026-01-03 01:06:00,13,farmacia,Farmacia,Salud,Farmacias del Ahorro,Farmacias del Ahorro,267.0,-267.0,EGRESO,POS,MXN,785
c639ce67-5d33-452f-a544-65e9f03de5b6,CLI-10035,MX-ACC-214352,Fernanda,Gonzalez Gomez,53,F,Guadalajara,19823.84,15792.2,2026-01-03 01:18:00,11,mantenimiento,Mantenimiento,Transporte,Mantenimiento Automotriz,Mantenimiento Automotriz,1304.0,-1304.0,EGRESO,APP_MOVIL,MXN,756
e2c6df8a-88b3-418b-a8dc-078c3f5c4385,CLI-10078,MX-ACC-535165,Luis,Ramirez Rodriguez,37,NO_ESPECIFICADO,Tijuana,19710.02,0.0,2026-01-03 03:46:00,31,gas,Gas,Servicios,Gas,Gas,447.0,-447.0,EGRESO,TRANSFERENCIA,MXN,588
3bba5881-acd3-46b5-bbcf-368fbc230208,CLI-10060,MX-ACC-570951,Andrea,Rodriguez Lopez,42,F,CDMX,31732.66,13920.66,2026-01-03 04:30:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Transferencia Recibida,Transferencia Recibida,3158.0,3158.0,INGRESO,TRANSFERENCIA,MXN,510
a5a84b15-d325-4f44-acac-d67850c71207,CLI-10094,MX-ACC-666074,Camila,Rodriguez Sanchez,43,F,Tijuana,25784.06,2121.64,2026-01-03 05:31:00,16,colegiatura,Colegiatura,Educacion,Colegiatura,Colegiatura,6859.0,-6859.0,EGRESO,EFECTIVO,MXN,516
cc0ccfcd-e5f4-41f0-96f4-5f5dfb1f8c4b,CLI-10043,MX-ACC-292714,Maria,Perez Martinez,23,F,Queretaro,41400.8,16114.96,2026-01-03 06:42:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,20700.4,20700.4,INGRESO,TRANSFERENCIA,MXN,702
6ee323f2-e7b7-4015-acec-e5920a5a3a1e,CLI-10015,MX-ACC-758271,Maria,Ramirez Perez,33,F,Tijuana,9832.6,1054.0,2026-01-03 07:05:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,8203.8,8203.8,INGRESO,TRANSFERENCIA,MXN,819
3d3d2f44-cfd4-4ce2-8115-de09dd3f6d0c,CLI-10074,MX-ACC-384260,Miguel,Rodriguez Flores,26,M,Queretaro,20037.49,50526.18,2026-01-03 08:01:00,2,supermercado,Supermercado,Alimentacion,Soriana,Soriana,3786.0,-3786.0,EGRESO,APP_MOVIL,MXN,613
a452a5b7-b8a7-4259-a7c2-c262c3cd79da,CLI-10064,MX-ACC-382762,Gabriela,Perez Lopez,36,F,Puebla,13450.55,15084.28,2026-01-03 09:06:00,15,renta,Renta,Vivienda,Renta,Renta,12170.0,-12170.0,EGRESO,APP_MOVIL,MXN,400
32a184ea-35c3-4944-adf9-1815363db3c7,CLI-10063,MX-ACC-984011,Lucia,Perez Perez,66,F,Queretaro,22496.28,32452.73,2026-01-03 09:24:00,32,internet_telefonia_hogar,Internet y Telefonia Hogar,Servicios,Totalplay,Totalplay,389.0,-389.0,EGRESO,TRANSFERENCIA,MXN,593
70baba7d-22cd-4fe7-a2ff-a74124365e01,CLI-10099,MX-ACC-497710,Manuel,Gonzalez Lopez,35,M,CDMX,14321.22,0.0,2026-01-03 09:52:00,28,articulos_deportivos,Articulos Deportivos,Ocio,Innvictus,Innvictus,934.0,-934.0,EGRESO,EFECTIVO,MXN,592
85a4b6c1-5b4f-4748-9629-d1d0302aa494,CLI-10077,MX-ACC-258768,Daniela,Ramirez Sanchez,69,F,Tijuana,19857.52,9600.62,2026-01-03 10:04:00,33,telefonia_movil,Telefonia Movil,Servicios,Telcel,Telcel,349.0,-349.0,EGRESO,APP_MOVIL,MXN,462
7edcccb8-54dd-4e30-9a37-edc20322e6f0,CLI-10013,MX-ACC-613153,Javier,Rodriguez Gomez,34,M,Queretaro,15206.22,11029.05,2026-01-03 11:56:00,10,gasolina,Gasolina,Transporte,Oxxo Gas,Oxxo Gas,384.0,-384.0,EGRESO,APP_MOVIL,MXN,742
331321d1-03a9-4762-b19c-e71cc15c86a5,CLI-10084,MX-ACC-881817,Gabriela,Gonzalez Hernandez,40,F,Merida,9696.55,9121.44,2026-01-03 12:06:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,4848.27,4848.27,INGRESO,TRANSFERENCIA,MXN,655
1c5b78b6-77aa-4c49-ae37-a9b6169b77b3,CLI-10025,MX-ACC-132097,Manuel,Flores Sanchez,53,M,Monterrey,41019.0,23289.91,2026-01-03 13:03:00,16,colegiatura,Colegiatura,Educacion,Colegiatura,Colegiatura,7419.0,-7419.0,EGRESO,EFECTIVO,MXN,799
598e1971-29bd-4c01-badd-133c02b1c055,CLI-10070,MX-ACC-954211,Alejandro,Lopez Sanchez,44,M,Merida,40079.8,0.0,2026-01-03 13:16:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,20039.9,20039.9,INGRESO,TRANSFERENCIA,MXN,496
a296f9b6-f91b-4222-8696-7d154a588a76,CLI-10078,MX-ACC-535165,Luis,Ramirez Rodriguez,37,M,Tijuana,19710.02,0.0,2026-01-03 13:37:00,3,comida_rapida,Comida Rapida,Alimentacion,Domino's,Domino's,1161.0,-1161.0,EGRESO,APP_MOVIL,MXN,588
a1d41324-4967-4af2-a73e-5cb54d4409c9,CLI-10051,MX-ACC-585450,Maria,Perez Martinez,47,F,Guadalajara,50855.17,723.0,2026-01-03 14:29:00,32,internet_telefonia_hogar,Internet y Telefonia Hogar,Servicios,Izzi,Izzi,799.0,-799.0,EGRESO,APP_MOVIL,MXN,654
34804dec-254a-42b6-aec4-6301e58e8de6,CLI-10062,MX-ACC-746465,Luis,Gomez Sanchez,26,M,Puebla,10672.71,1163.0,2026-01-03 16:41:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Transferencia Recibida,Transferencia Recibida,4424.0,4424.0,INGRESO,TRANSFERENCIA,MXN,628
c628eb4e-9099-496b-ac39-9726e207a2aa,CLI-10000,MX-ACC-164820,Luis,Gomez Martinez,56,M,Monterrey,20805.77,0.0,2026-01-03 18:17:00,34,herramientas,Herramientas,Otros,Herramientas,Herramientas,1238.0,-1238.0,EGRESO,TRANSFERENCIA,MXN,487
f7c707b3-5b5e-436b-8fa1-c83162f241e7,CLI-10038,MX-ACC-252617,Miguel,Martinez Martinez,52,M,Cancun,27448.23,1274.0,2026-01-03 18:22:00,22,ropa,Ropa,Ocio,Palacio de Hierro,Palacio de Hierro,1612.0,-1612.0,EGRESO,EFECTIVO,MXN,543
4ae6e0ef-5944-4b73-9588-aa428807da33,CLI-10068,MX-ACC-318134,Lucia,Ramirez Flores,42,NO_ESPECIFICADO,CDMX,31975.94,715.0,2026-01-03 18:27:00,23,zapatos_tacon,Zapatos de Tacon,Ocio,Capa de Ozono,Capa de Ozono,2228.0,-2228.0,EGRESO,TRANSFERENCIA,MXN,413
58046eb9-ed7c-493c-863f-f379b672253a,CLI-10093,MX-ACC-616142,Manuel,Martinez Rodriguez,40,M,Cancun,34754.58,72443.17,2026-01-03 21:07:00,35,otros,Otros,Otros,Compras Fisicas,Compras Fisicas,333.0,-333.0,EGRESO,TRANSFERENCIA,MXN,488
787fb0e3-a466-4554-909e-79461c527c40,CLI-10092,MX-ACC-799983,Valeria,Gonzalez Hernandez,54,F,Leon,10921.01,4148.35,2026-01-03 21:13:00,33,telefonia_movil,Telefonia Movil,Servicios,Movistar,Movistar,249.0,-249.0,EGRESO,APP_MOVIL,MXN,729
649a20aa-d568-4605-bf1a-f9c3fb2df30b,CLI-10007,MX-ACC-589570,Javier,Flores Sanchez,58,M,Leon,58292.59,12243.1,2026-01-03 22:14:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,29146.29,29146.29,INGRESO,TRANSFERENCIA,MXN,432
cb60801a-cd74-463a-89cb-04e0ecca536d,CLI-10011,MX-ACC-890180,Roberto,Sanchez Rodriguez,18,M,CDMX,14173.73,727.0,2026-01-03 23:24:00,20,viajes,Viajes,Ocio,Viajes,Viajes,8738.0,-8738.0,EGRESO,APP_MOVIL,MXN,632
b13dfad5-8983-41a1-87a4-0c4ac2490fc2,CLI-10038,MX-ACC-252617,Miguel,Martinez Martinez,52,M,Cancun,27448.23,1274.0,2026-01-03 23:28:00,3,comida_rapida,Comida Rapida,Alimentacion,McDonald's,McDonald's,1092.0,-1092.0,EGRESO,EFECTIVO,MXN,543
9bc1afd3-b894-4a89-a4e6-af664af9df82,CLI-10003,MX-ACC-824839,Miguel,Martinez Gonzalez,37,M,Puebla,14515.74,18448.8,2026-01-03 23:36:00,33,telefonia_movil,Telefonia Movil,Servicios,Movistar,Movistar,249.0,-249.0,EGRESO,TRANSFERENCIA,MXN,663
bb873bb1-fdf5-4ef2-b58e-e84ce2a07c38,CLI-10096,MX-ACC-311837,Ricardo,Sanchez Gomez,66,M,Monterrey,24461.2,25599.49,2026-01-04 00:25:00,14,seguros,Seguros,Salud,GNP Seguros,GNP Seguros,3954.0,-3954.0,EGRESO,APP_MOVIL,MXN,560
c89eb19a-1c0f-493e-88a3-9af7f7742d15,CLI-10025,MX-ACC-132097,Manuel,Flores Sanchez,53,M,Monterrey,41019.0,23289.91,2026-01-04 00:42:00,32,internet_telefonia_hogar,Internet y Telefonia Hogar,Servicios,Izzi,Izzi,439.0,-439.0,EGRESO,EFECTIVO,MXN,799
e67aa391-0a28-4ffb-9202-9c2cbf1043f9,CLI-10085,MX-ACC-595553,Daniela,Rodriguez Flores,47,F,Toluca,22366.41,30456.86,2026-01-04 02:48:00,21,salidas,Salidas,Ocio,Starbucks,Starbucks,112.0,-112.0,EGRESO,TRANSFERENCIA,MXN,608
9057c5a6-377c-4133-a23a-80c047e0cdd8,CLI-10014,MX-ACC-206081,Gabriela,Perez Sanchez,21,F,Merida,10686.19,500.0,2026-01-04 02:58:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,5343.1,5343.1,INGRESO,TRANSFERENCIA,MXN,654
71da6618-8e03-436e-b5ce-96d6651062d5,CLI-10006,MX-ACC-113986,Alejandro,Ramirez Sanchez,26,M,Guadalajara,38589.68,0.0,2026-01-04 04:04:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,19294.84,19294.84,INGRESO,TRANSFERENCIA,MXN,462
4a32a364-abe8-458c-8077-2f29e827a5f3,CLI-10093,MX-ACC-616142,Manuel,Martinez Rodriguez,40,M,Cancun,34754.58,72443.17,2026-01-04 04:05:00,11,mantenimiento,Mantenimiento,Transporte,Mantenimiento Automotriz,Mantenimiento Automotriz,1082.0,-1082.0,EGRESO,POS,MXN,488
6e7b6ac1-6728-4f21-aa16-7ea7115630bb,CLI-10029,MX-ACC-546438,Miguel,Flores Rodriguez,64,M,Queretaro,14760.12,659.0,2026-01-04 04:44:00,32,internet_telefonia_hogar,Internet y Telefonia Hogar,Servicios,Infinitum,Infinitum,799.0,-799.0,EGRESO,POS,MXN,488
bdc1f549-f95f-4682-83bf-cc2d3a06e74e,CLI-10031,MX-ACC-750419,Miguel,Flores Martinez,56,M,Cancun,17502.27,456.0,2026-01-04 06:51:00,34,herramientas,Herramientas,Otros,Herramientas,Herramientas,379.0,-379.0,EGRESO,APP_MOVIL,MXN,422
4a6d3be5-c657-40bd-933e-9f33de34aaf0,CLI-10004,MX-ACC-635822,Valeria,Perez Flores,21,F,Leon,13087.77,28360.42,2026-01-04 08:59:00,24,bolsas,Bolsas,Ocio,Cloe,Cloe,2109.0,-2109.0,EGRESO,EFECTIVO,MXN,561
06c87c75-6521-4009-93af-e8c380b487b9,CLI-10071,MX-ACC-382247,Gabriela,Martinez Flores,50,F,Queretaro,11172.12,914.0,2026-01-04 10:16:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Transferencia Recibida,Transferencia Recibida,4173.0,4173.0,INGRESO,TRANSFERENCIA,MXN,627
80b4839c-96c7-48b3-ad4d-6d30c55dd774,CLI-10094,MX-ACC-666074,Camila,Rodriguez Sanchez,43,F,Tijuana,25784.06,2121.64,2026-01-04 10:28:00,3,comida_rapida,Comida Rapida,Alimentacion,Little Caesars,Little Caesars,1170.0,-1170.0,EGRESO,TRANSFERENCIA,MXN,516
022665ed-8d61-4deb-af3f-3532c703a45a,CLI-10076,MX-ACC-666202,Miguel,Ramirez Hernandez,69,M,Guadalajara,24417.66,9153.19,2026-01-04 11:08:00,8,metrobus,Metrobus,Transporte,Metrobus,Metrobus,6.0,-6.0,EGRESO,APP_MOVIL,MXN,609
314496c9-5c25-4a5f-94b7-388fbb463d71,CLI-10064,MX-ACC-382762,Gabriela,Perez Lopez,36,F,Puebla,13450.55,15084.28,2026-01-04 11:55:00,15,renta,Renta,Vivienda,Renta,Renta,4091.0,-4091.0,EGRESO,APP_MOVIL,MXN,400
275145fd-c4ae-4b92-a554-d17dabf7f71c,CLI-10017,MX-ACC-369544,Gabriela,Ramirez Lopez,66,F,Guadalajara,14537.54,0.0,2026-01-04 12:17:00,35,otros,Otros,Otros,Compras Fisicas,Compras Fisicas,2229.0,-2229.0,EGRESO,TRANSFERENCIA,MXN,539
3bdbd72e-0375-49ea-a86c-8ca94f5989b5,CLI-10010,MX-ACC-642335,Carlos,Perez Gonzalez,59,M,Cancun,42017.74,38427.36,2026-01-04 12:21:00,9,taxi,Taxi,Transporte,DiDi,DiDi,111.0,-111.0,EGRESO,TRANSFERENCIA,MXN,427
62e293b4-af5f-4bf0-b7fd-0906bd628ef5,CLI-10009,MX-ACC-424767,Sofia,Sanchez Rodriguez,69,F,Tijuana,25569.06,4200.82,2026-01-04 13:10:00,27,salon_belleza,Salon de Belleza,Ocio,Salon de Belleza,Salon de Belleza,265.0,-265.0,EGRESO,POS,MXN,630
d95bffe2-b24f-4243-a193-6b26dbc4d5b2,CLI-10077,MX-ACC-258768,Daniela,Ramirez Sanchez,69,F,Tijuana,19857.52,9600.62,2026-01-04 14:16:00,24,bolsas,Bolsas,Ocio,Cloe,Cloe,1378.0,-1378.0,EGRESO,APP_MOVIL,MXN,462
2d13353e-32d3-4ca8-ad94-53b7dda23192,CLI-10036,MX-ACC-514568,Lucia,Gonzalez Rodriguez,56,F,CDMX,26375.93,16354.18,2026-01-04 14:42:00,7,metro,Metro,Transporte,Metro,Metro,5.0,-5.0,EGRESO,APP_MOVIL,MXN,667
