id_usuario,nombre,apellido,fecha_nacimiento,genero,lugar_registro,ingreso_mensual,email
4ba0e6b1-2b10-45c4-8b69-3a0ba066107f,Gabriela,Ramirez Lopez,1960-06-15,F,Guadalajara,14537.54,gabriela.ramirez_lopez_cli-10017@mail.com
b283bb64-a506-4205-8088-1448bf005257,Manuel,Hernandez Rodriguez,1964-06-15,M,CDMX,18487.49,manuel.hernandez_rodriguez_cli-10079@mail.com
6e8b21b8-f424-4838-b0aa-1cafe3c4a995,Maria,Perez Martinez,2003-06-15,F,Queretaro,41400.8,maria.perez_martinez_cli-10043@mail.com
10e8e662-c492-4cbf-94ca-f1371e5e0053,Juan,Martinez Rodriguez,1981-06-15,M,Queretaro,31108.15,juan.martinez_rodriguez_cli-10021@mail.com
4f1052e4-e201-43a7-a317-69bcafb782f1,Manuel,Gonzalez Hernandez,1977-06-15,M,Tijuana,98710.06,manuel.gonzalez_hernandez_cli-10082@mail.com
b5fa3273-0d6d-46c6-b0a1-0cb7cb5cf306,Maria,Perez Martinez,1979-06-15,F,Guadalajara,50855.17,maria.perez_martinez_cli-10051@mail.com
37e96540-3d41-47d0-9c94-c7cacb0afe43,Gabriela,Gomez Gonzalez,1984-06-15,F,Leon,14914.7,gabriela.gomez_gonzalez_cli-10073@mail.com
2549475f-3fc2-4b66-a00c-e5f8b3574590,Roberto,Sanchez Rodriguez,2008-06-15,M,CDMX,14173.73,roberto.sanchez_rodriguez_cli-10011@mail.com
d86ec1b8-31d0-45b8-9f6d-4d7c6e75c269,Roberto,Ramirez Gomez,1992-06-15,M,Guadalajara,19647.58,roberto.ramirez_gomez_cli-10091@mail.com
dd7f5796-6b5e-4e01-a319-5b96ea1e9109,Luis,Ramirez Rodriguez,1989-06-15,M,Tijuana,19710.02,luis.ramirez_rodriguez_cli-10078@mail.com
aec80a0c-129c-4d10-ae98-f40b51c11583,Carlos,Rodriguez Perez,1959-06-15,M,Toluca,21112.54,carlos.rodriguez_perez_cli-10065@mail.com
557596d4-53d6-46f0-ac1c-63b08ebca067,Ana,Sanchez Flores,2002-06-15,F,Queretaro,35628.9,ana.sanchez_flores_cli-10083@mail.com
c6785101-01b1-4c57-9449-3b63b4620d38,Ricardo,Gonzalez Sanchez,1980-06-15,M,Guadalajara,19484.45,ricardo.gonzalez_sanchez_cli-10081@mail.com
7dd045a5-dea8-4fbe-a6b4-57bf3c8ebbbf,Miguel,Ramirez Hernandez,1957-06-15,M,Guadalajara,24417.66,miguel.ramirez_hernandez_cli-10076@mail.com
4ab8aec6-79c9-4ebf-b960-02331c41882f,Manuel,Martinez Rodriguez,1986-06-15,M,Cancun,34754.58,manuel.martinez_rodriguez_cli-10093@mail.com
400e6d26-27bc-41a0-a3c0-363ac80b6a7f,Alejandro,Rodriguez Hernandez,1966-06-15,M,Monterrey,65762.54,alejandro.rodriguez_hernandez_cli-10033@mail.com
f745dc6f-a364-4d07-ae7d-38ead836a3f4,Sofia,Rodriguez Hernandez,1972-06-15,F,Cancun,80306.42,sofia.rodriguez_hernandez_cli-10008@mail.com
705a7949-d59c-49fb-a2cd-b736603c5e88,Sofia,Sanchez Rodriguez,1957-06-15,F,Tijuana,25569.06,sofia.sanchez_rodriguez_cli-10009@mail.com
0aa14c89-4473-4ebe-b4dd-61662097240d,Alejandro,Lopez Sanchez,1982-06-15,M,Merida,40079.8,alejandro.lopez_sanchez_cli-10070@mail.com
0e1eadde-e1b1-4fcb-a2f5-e9c26163d626,Daniela,Lopez Gomez,2005-06-15,F,Queretaro,17482.79,daniela.lopez_gomez_cli-10055@mail.com
e2fc75d6-ba79-44b6-9114-71c331bf56bb,Alejandro,Rodriguez Sanchez,2007-06-15,M,Puebla,24685.65,alejandro.rodriguez_sanchez_cli-10069@mail.com
587044e5-8e2f-48d2-a43b-ec3a54842c7b,Andrea,Rodriguez Lopez,1984-06-15,F,CDMX,31732.66,andrea.rodriguez_lopez_cli-10060@mail.com
a85b9a08-7692-4df1-9040-e9848f29e30f,Maria,Ramirez Perez,1993-06-15,F,Tijuana,9832.6,maria.ramirez_perez_cli-10015@mail.com
ecbdc271-3a3e-4595-9767-5e346373bbb9,Miguel,Rodriguez Flores,2000-06-15,M,Queretaro,20037.49,miguel.rodriguez_flores_cli-10074@mail.com
cba3cdab-c82d-450d-8b05-9e9fde8f38e9,Gabriela,Perez Lopez,1990-06-15,F,Puebla,13450.55,gabriela.perez_lopez_cli-10064@mail.com
9f9f49ec-493f-4c8a-ae12-284c2dd183cf,Lucia,Perez Perez,1960-06-15,F,Queretaro,22496.28,lucia.perez_perez_cli-10063@mail.com
642478e6-5144-4b1d-8db1-3c9ed1d59be8,Manuel,Gonzalez Lopez,1991-06-15,M,CDMX,14321.22,manuel.gonzalez_lopez_cli-10099@mail.com
074cfbff-44bb-43e6-aad9-b745ffca825b,Gabriela,Gonzalez Hernandez,1986-06-15,F,Merida,9696.55,gabriela.gonzalez_hernandez_cli-10084@mail.com
2c2ac369-c93a-48e1-8b2e-c801e56c57b8,Miguel,Martinez Martinez,1974-06-15,M,Cancun,27448.23,miguel.martinez_martinez_cli-10038@mail.com
fb702e9a-9679-411d-818f-3967c31ed565,Valeria,Gonzalez Hernandez,1972-06-15,F,Leon,10921.01,valeria.gonzalez_hernandez_cli-10092@mail.com
c50d83b4-279c-4288-9017-23177091a95c,Javier,Flores Sanchez,1968-06-15,M,Leon,58292.59,javier.flores_sanchez_cli-10007@mail.com
73494bf1-5535-439a-a205-b6896ba328b2,Miguel,Martinez Gonzalez,1989-06-15,M,Puebla,14515.74,miguel.martinez_gonzalez_cli-10003@mail.com
7438e682-4ba2-498a-8324-c180c706c126,Ricardo,Sanchez Gomez,1960-06-15,M,Monterrey,24461.2,ricardo.sanchez_gomez_cli-10096@mail.com
b9d9f335-cb77-47ee-969b-0e92c1bb2a45,Daniela,Rodriguez Flores,1979-06-15,F,Toluca,22366.41,daniela.rodriguez_flores_cli-10085@mail.com
20cfc493-363d-4f22-abf8-888cecff22c5,Gabriela,Perez Sanchez,2005-06-15,F,Merida,10686.19,gabriela.perez_sanchez_cli-10014@mail.com
7d38aa96-2580-4c3e-9819-ea5e52fcbd0e,Alejandro,Ramirez Sanchez,2000-06-15,M,Guadalajara,38589.68,alejandro.ramirez_sanchez_cli-10006@mail.com
458a6d80-2cd7-4406-bfa4-84d902178482,Miguel,Flores Rodriguez,1962-06-15,M,Queretaro,14760.12,miguel.flores_rodriguez_cli-10029@mail.com
f64b88df-4ea6-4e6f-8d30-c99c6b8879ed,Miguel,Flores Martinez,1970-06-15,M,Cancun,17502.27,miguel.flores_martinez_cli-10031@mail.com
7e4199d0-448e-46dd-bfc0-ed12e9b7a554,Valeria,Perez Flores,2005-06-15,F,Leon,13087.77,valeria.perez_flores_cli-10004@mail.com
295d6c5d-ffc3-4108-b08c-3a5ffd2578a6,Gabriela,Martinez Flores,1976-06-15,F,Queretaro,11172.12,gabriela.martinez_flores_cli-10071@mail.com
5afa0c1b-479d-43cd-8c6f-e4ba10e8bf99,Lucia,Gonzalez Rodriguez,1970-06-15,F,CDMX,26375.93,lucia.gonzalez_rodriguez_cli-10036@mail.com
08e55cc5-ed81-4217-a130-49da426dab2a,Manuel,Martinez Martinez,1970-06-15,M,Monterrey,10784.22,manuel.martinez_martinez_cli-10027@mail.com
44c61a8c-4f6a-4467-9b8f-aebbcd407be9,Juan,Flores Lopez,1981-06-15,M,Toluca,38151.07,juan.flores_lopez_cli-10042@mail.com
b3b5ec56-cfcb-4569-aa70-9e88aef4d196,Miguel,Gomez Perez,1997-06-15,M,Queretaro,11257.91,miguel.gomez_perez_cli-10045@mail.com
386f6db1-dafa-41be-a844-1c24e1e5deb4,Maria,Rodriguez Gomez,1977-06-15,F,Monterrey,9960.63,maria.rodriguez_gomez_cli-10050@mail.com
b085e184-d806-4457-af7e-0bfac9cd0e2b,Maria,Sanchez Ramirez,1964-06-15,F,Guadalajara,36997.98,maria.sanchez_ramirez_cli-10041@mail.com
6d24ffa4-a9f9-44fc-8b62-854554712261,Andrea,Rodriguez Gomez,1970-06-15,F,Tijuana,64206.88,andrea.rodriguez_gomez_cli-10016@mail.com
aa5b73ac-a57e-4c6a-9b8d-fbfd704ada1d,Ana,Flores Perez,1974-06-15,F,Merida,19122.2,ana.flores_perez_cli-10059@mail.com
b25e0104-335c-48f6-b72a-98daa5b84c20,Manuel,Flores Ramirez,1959-06-15,M,Merida,53493.4,manuel.flores_ramirez_cli-10040@mail.com
4f07c649-3122-4fb3-9958-62b7be5e091b,Juan,Perez Martinez,2007-06-15,M,Merida,16972.32,juan.perez_martinez_cli-10054@mail.com
80021215-7a5e-4b68-996e-47173f783982,Roberto,Gonzalez Flores,1979-06-15,M,CDMX,49207.85,roberto.gonzalez_flores_cli-10047@mail.com
f62dcc5a-4ed2-4f40-8fc9-0d5df71e4ed0,Carlos,Rodriguez Rodriguez,1961-06-15,M,Leon,10967.14,carlos.rodriguez_rodriguez_cli-10020@mail.com
691dda89-a7ec-4ce4-966d-a4d1a58564ea,Luis,Hernandez Flores,1980-06-15,M,Leon,18862.85,luis.hernandez_flores_cli-10089@mail.com
5cabc1e5-1263-4de8-a8f3-e95a6a843db3,Valeria,Martinez Gomez,1976-06-15,F,Monterrey,15291.78,valeria.martinez_gomez_cli-10090@mail.com
d7566cf5-60ef-4a8d-967d-4a54bbce550b,Camila,Perez Hernandez,1984-06-15,F,Queretaro,12369.36,camila.perez_hernandez_cli-10026@mail.com
7bc01b16-8bc4-4d11-810c-cac20065f57c,Luis,Gonzalez Hernandez,1958-06-15,M,Cancun,25671.57,luis.gonzalez_hernandez_cli-10072@mail.com
9944cfdf-641d-4f56-b895-9a6a649b7b18,Camila,Flores Hernandez,1992-06-15,F,Leon,68723.81,camila.flores_hernandez_cli-10053@mail.com
f740ea6f-6462-41d9-83b2-c04c25fc349b,Manuel,Gonzalez Ramirez,2002-06-15,M,Guadalajara,26033.22,manuel.gonzalez_ramirez_cli-10088@mail.com
2061eb76-4a8f-4edd-bafb-5956de13cada,Camila,Hernandez Flores,1993-06-15,F,Puebla,12454.87,camila.hernandez_flores_cli-10030@mail.com
52fc942b-37e4-443e-b8d1-26079012b727,Camila,Lopez Ramirez,2006-06-15,F,Cancun,48313.75,camila.lopez_ramirez_cli-10002@mail.com
fd8f7962-e58f-47b9-bcd1-1b7e071fc0b6,Diego,Gonzalez Perez,1959-06-15,M,CDMX,26827.95,diego.gonzalez_perez_cli-10052@mail.com
518e263e-d799-42a2-be5d-e8ecf69df036,Camila,Ramirez Gomez,1988-06-15,F,Toluca,18842.61,camila.ramirez_gomez_cli-10005@mail.com
4c6e65b2-a1e8-4daf-bf0d-6a5fe38673ff,Alejandro,Gomez Perez,1980-06-15,M,Cancun,12011.16,alejandro.gomez_perez_cli-10067@mail.com
71a2e22f-8a9f-4621-a05a-74acd8958192,Luis,Perez Rodriguez,2000-06-15,M,Queretaro,16407.59,luis.perez_rodriguez_cli-10046@mail.com
311f2c3e-6815-4c42-9b8c-89e7a6ec7a53,Carlos,Lopez Gomez,1976-06-15,,Toluca,29546.21,carlos.lopez_gomez_cli-10018@mail.com
235099f4-07bd-4a8c-8b6d-2dcec4d70a3d,Sofia,Ramirez Martinez,1985-06-15,F,Queretaro,17031.96,sofia.ramirez_martinez_cli-10022@mail.com
5af8eacf-fff6-43d9-a5cd-73e7c4f72884,Roberto,Perez Perez,1966-06-15,M,Queretaro,19953.39,roberto.perez_perez_cli-10086@mail.com
adf07cc2-c302-406b-92c0-9a134d11f04f,Valeria,Hernandez Lopez,2008-06-15,F,CDMX,17140.21,valeria.hernandez_lopez_cli-10080@mail.com
c9819d64-2a6e-401d-b70f-8991232f8722,Miguel,Gonzalez Flores,1992-06-15,M,Monterrey,46765.82,miguel.gonzalez_flores_cli-10024@mail.com
30ecec2c-fabd-4838-b1ae-cf46155c71d7,Luis,Ramirez Perez,1996-06-15,M,Puebla,54175.81,luis.ramirez_perez_cli-10037@mail.com
5cfa919e-9a76-4564-ae78-0214f404d08c,Lucia,Ramirez Perez,1975-06-15,F,Merida,25156.71,lucia.ramirez_perez_cli-10087@mail.com
8bc789ee-3181-4739-888c-0187386bed92,Valeria,Gonzalez Martinez,1976-06-15,,Guadalajara,16255.07,valeria.gonzalez_martinez_cli-10001@mail.com
55fc8d86-4615-403f-8457-2925fc498a06,Carlos,Gonzalez Hernandez,1986-06-15,M,Puebla,10476.99,carlos.gonzalez_hernandez_cli-10034@mail.com
983a8039-4834-4593-ae3e-49168dab5479,Manuel,Perez Flores,1981-06-15,M,Tijuana,18206.25,manuel.perez_flores_cli-10058@mail.com
e760f3f8-8791-4189-a300-95536740e301,Javier,Perez Hernandez,1986-06-15,M,Puebla,38305.66,javier.perez_hernandez_cli-10049@mail.com
4a88f5eb-d31d-464c-9f6e-e1b647031cab,Roberto,Gomez Perez,1974-06-15,M,Guadalajara,17580.87,roberto.gomez_perez_cli-10066@mail.com
8ed1a9b5-a22b-4653-9602-20214999b819,Lucia,Perez Sanchez,2008-06-15,F,Toluca,49788.48,lucia.perez_sanchez_cli-10075@mail.com
ea1ce915-ae52-4f95-9b83-8fdeb47277b1,Juan,Flores Perez,1988-06-15,M,Toluca,24913.14,juan.flores_perez_cli-10056@mail.com
a07e961e-deed-458e-abab-f83a389a2bc3,Sofia,Hernandez Lopez,1991-06-15,F,Tijuana,12635.6,sofia.hernandez_lopez_cli-10044@mail.com
2671e240-b81a-4158-9a89-060f5bf6063c,Miguel,Gomez Perez,1977-06-15,M,Guadalajara,23629.06,miguel.gomez_perez_cli-10012@mail.com
6364825a-be52-4b16-898a-825dfe8fc6f7,Miguel,Martinez Hernandez,1986-06-15,,Merida,24789.45,miguel.martinez_hernandez_cli-10039@mail.com
f6b31c3a-72ff-4e39-a5a8-b1588643ab9f,Sofia,Flores Rodriguez,2004-06-15,F,Monterrey,32037.97,sofia.flores_rodriguez_cli-10032@mail.com
6bdd1e53-4996-4d4d-abce-c04979dababb,Roberto,Gonzalez Gonzalez,2007-06-15,M,Leon,32546.31,roberto.gonzalez_gonzalez_cli-10019@mail.com
